A̱o,Crecimiento % hasta 2024
2000,765.8185605979828
2001,763.3819702442886
2002,653.7283569583775
2003,543.3919532799003
2004,471.43482549649906
2005,425.5537809212184
2006,287.3020723414671
2007,235.74251541333462
2008,168.67845833671393
2009,140.2242520581052
2010,90.64267724810385
2011,48.85118517142405
2012,40.22590608435105
2013,66.12554463684053
2014,84.87204715086654
2015,101.93773727667535
2016,87.25545378205841
2017,86.06566209595093
2018,84.61213183812663
2019,68.02651748610332
2020,31.975531120018573
2021,30.176500038267086
2022,30.003004377117808
2023,20.45397101760418
2024,0.0
